time,posX,setPosX,posY,setPosY,posZ,setPosZ,angleX,setAngleX,angleY,setAngleY,angleZ,setAngleZ,m1,m2,m3,m4
000.145,9.997778,0.0,9.997778,0.0,10.006388,10.0,-0.107314005,-0.43633232,-0.107314005,-0.43633232,-0.0062453095,0.0,0.4928472,1.0,0.4928472,0.0
000.150,9.99746,0.0,9.99746,0.0,10.007217,10.0,-0.11471497,-0.43633232,-0.11471497,-0.43633232,-0.0065059434,0.0,0.49269044,1.0,0.49269044,0.0
000.155,9.99711,0.0,9.99711,0.0,10.008085,10.0,-0.122362636,-0.43633232,-0.122362636,-0.43633232,-0.0067689884,0.0,0.4930362,1.0,0.49303615,0.0
000.160,9.996742,0.0,9.996742,0.0,10.008848,10.0,-0.1300103,-0.43633232,-0.1300103,-0.43633232,-0.0068612616,0.0,0.49314758,0.0,0.49314755,0.0
000.165,9.996367,0.0,9.996367,0.0,10.009422,10.0,-0.13765797,-0.43633232,-0.13765797,-0.43633232,-0.0068857,0.0,0.1958892,0.0,0.1958892,0.0
000.170,9.995985,0.0,9.995985,0.0,10.009799,10.0,-0.14528817,-0.43633232,-0.14528817,-0.43633232,-0.0068755634,0.0,0.1352492,0.0,0.13524923,0.07080957
000.175,9.995578,0.0,9.995578,0.0,10.0101,10.0,-0.15269351,-0.43633232,-0.15269351,-0.43633232,-0.0069735707,0.0,0.14342564,0.0,0.14342564,0.9114366
000.180,9.995141,0.0,9.995141,0.0,10.010346,10.0,-0.15996057,-0.43633232,-0.15996057,-0.43633232,-0.0070322496,0.0,0.39384437,0.0,0.3938444,0.560549
000.185,9.99467,0.0,9.99467,0.0,10.01056,10.0,-0.16702257,-0.43633232,-0.16702257,-0.43633232,-0.0071172793,0.0,0.33950752,0.0,0.33950752,0.8312028
000.190,9.994163,0.0,9.994163,0.0,10.010738,10.0,-0.17391868,-0.43633232,-0.17391868,-0.43633232,-0.007177184,0.0,0.40878856,0.0,0.40878856,0.6724678
000.195,9.993618,0.0,9.993618,0.0,10.010882,10.0,-0.18062742,-0.43633232,-0.18062742,-0.43633232,-0.007238693,0.0,0.3751115,0.0,0.3751115,0.75949013
000.200,9.993034,0.0,9.993034,0.0,10.010988,10.0,-0.18716648,-0.43633232,-0.18716648,-0.43633232,-0.0072826063,0.0,0.39469594,0.0,0.39469594,0.6877652
000.205,9.992412,0.0,9.992412,0.0,10.011053,10.0,-0.1935302,-0.43633232,-0.1935302,-0.43633232,-0.0073191645,0.0,0.37663963,0.0,0.37663963,0.7108021
000.210,9.991749,0.0,9.991749,0.0,10.011072,10.0,-0.19972742,-0.43633232,-0.19972742,-0.43633232,-0.007341006,0.0,0.37996465,0.0,0.37996465,0.6749324
000.215,9.991046,0.0,9.991046,0.0,10.011043,10.0,-0.20575805,-0.43633232,-0.20575805,-0.43633232,-0.007351671,0.0,0.36987522,0.0,0.36987522,0.6751995
000.220,9.990302,0.0,9.990302,0.0,10.01096,10.0,-0.21162753,-0.43633232,-0.21162753,-0.43633232,-0.0073481523,0.0,0.36759815,0.0,0.36759815,0.6532804
000.225,9.989516,0.0,9.989516,0.0,10.01082,10.0,-0.2173377,-0.43633232,-0.2173377,-0.43633232,-0.007331545,0.0,0.36066505,0.0,0.36066505,0.6457355
000.230,9.988688,0.0,9.988688,0.0,10.010621,10.0,-0.2228926,-0.43633232,-0.2228926,-0.43633232,-0.0073004393,0.0,0.3565802,0.0,0.3565802,0.6294255
000.235,9.987819,0.0,9.987819,0.0,10.010358,10.0,-0.22829479,-0.43633232,-0.22829479,-0.43633232,-0.0072550806,0.0,0.35065752,0.0,0.35065752,0.61899525
000.240,9.986907,0.0,9.986907,0.0,10.010028,10.0,-0.23354761,-0.43633232,-0.23354761,-0.43633232,-0.007194662,0.0,0.34623057,0.0,0.34623057,0.6054843
000.245,9.985952,0.0,9.985952,0.0,10.009627,10.0,-0.23865387,-0.43633232,-0.23865387,-0.43633232,-0.0071191,0.0,0.3407814,0.0,0.3407814,0.5941019
000.250,9.984955,0.0,9.984955,0.0,10.009152,10.0,-0.24361657,-0.43633232,-0.24361657,-0.43633232,-0.0070278924,0.0,0.336146,0.0,0.33614597,0.58192873
000.255,9.983914,0.0,9.983914,0.0,10.0086,10.0,-0.2484384,-0.43633232,-0.2484384,-0.43633232,-0.006920761,0.0,0.33147252,0.0,0.3314725,0.5709783
000.260,9.982831,0.0,9.982831,0.0,10.007967,10.0,-0.2531222,-0.43633232,-0.2531222,-0.43633232,-0.006797321,0.0,0.32682306,0.0,0.32682306,0.5594585
000.265,9.981704,0.0,9.981704,0.0,10.007251,10.0,-0.25767064,-0.43633232,-0.25767064,-0.43633232,-0.006657277,0.0,0.32235807,0.0,0.32235807,0.5488149
000.270,9.980534,0.0,9.980534,0.0,10.006448,10.0,-0.26208642,-0.43633232,-0.26208642,-0.43633232,-0.0065003876,0.0,0.3174825,0.0,0.3174825,0.537678
000.275,9.979319,0.0,9.979319,0.0,10.005562,10.0,-0.2663854,-0.43633232,-0.2663854,-0.43633232,-0.006335704,0.0,0.31307048,0.053831637,0.31307048,0.5272928
000.280,9.978052,0.0,9.978052,0.0,10.004613,10.0,-0.27058598,-0.43633232,-0.27058598,-0.43633232,-0.006179725,0.0,0.32509306,0.1507971,0.32509306,0.5496619
000.285,9.976728,0.0,9.976728,0.0,10.003614,10.0,-0.27467513,-0.43633232,-0.27467513,-0.43633232,-0.006025795,0.0,0.3627257,0.14279756,0.3627257,0.5944882
000.290,9.975345,0.0,9.975345,0.0,10.002579,10.0,-0.27867103,-0.43633232,-0.27867103,-0.43633232,-0.0058764056,0.0,0.38195965,0.20605347,0.38195965,0.58409
000.295,9.973896,0.0,9.973896,0.0,10.001515,10.0,-0.28256053,-0.43633232,-0.28256053,-0.43633232,-0.0057304404,0.0,0.4015558,0.19585595,0.4015558,0.6270312
000.300,9.97238,0.0,9.97238,0.0,10.000431,10.0,-0.28636175,-0.43633232,-0.28636175,-0.43633232,-0.0055882107,0.0,0.4153583,0.24720132,0.4153583,0.6050905
000.305,9.970793,0.0,9.970793,0.0,9.999331,10.0,-0.29006135,-0.43633232,-0.29006135,-0.43633232,-0.0054494673,0.0,0.4273634,0.23147678,0.4273634,0.6433859
000.310,9.969132,0.0,9.969132,0.0,9.998221,10.0,-0.2936774,-0.43633232,-0.2936774,-0.43633232,-0.0053141857,0.0,0.43680167,0.2774014,0.4368017,0.61619425
000.315,9.967397,0.0,9.967397,0.0,9.997104,10.0,-0.29719636,-0.43633232,-0.29719636,-0.43633232,-0.005182255,0.0,0.44448796,0.25744185,0.44448796,0.65088785
000.320,9.965584,0.0,9.965584,0.0,9.995981,10.0,-0.3006362,-0.43633232,-0.3006362,-0.43633232,-0.005053602,0.0,0.4509988,0.30012336,0.45099884,0.6208059
000.325,9.963693,0.0,9.963693,0.0,9.994857,10.0,-0.3039834,-0.43633232,-0.3039834,-0.43633232,-0.004928142,0.0,0.45639738,0.2778059,0.4563974,0.6534277
000.330,9.96172,0.0,9.96172,0.0,9.993732,10.0,-0.30725563,-0.43633232,-0.30725563,-0.43633232,-0.0048057963,0.0,0.46064663,0.3177467,0.46064657,0.62153584
000.335,9.959666,0.0,9.959666,0.0,9.992609,10.0,-0.3104394,-0.43633232,-0.3104394,-0.43633232,-0.004686488,0.0,0.46413332,0.29360914,0.46413326,0.6521964
000.340,9.957529,0.0,9.957529,0.0,9.9914875,10.0,-0.3135522,-0.43633232,-0.3135522,-0.43633232,-0.0045701405,0.0,0.4672321,0.3319373,0.4672321,0.61963034
000.345,9.955307,0.0,9.955307,0.0,9.990369,10.0,-0.31658056,-0.43633232,-0.31658056,-0.43633232,-0.0044566817,0.0,0.4699402,0.30712467,0.46994013,0.64943844
000.350,9.952999,0.0,9.952999,0.0,9.989253,10.0,-0.3195417,-0.43633232,-0.3195417,-0.43633232,-0.004346039,0.0,0.47225744,0.34412837,0.4722574,0.61665225
000.355,9.950604,0.0,9.950604,0.0,9.988141,10.0,-0.32242218,-0.43633232,-0.32242218,-0.43633232,-0.004238143,0.0,0.47456276,0.31906778,0.4745628,0.64592063
000.360,9.948122,0.0,9.948122,0.0,9.987034,10.0,-0.32523906,-0.43633232,-0.32523906,-0.43633232,-0.0041329255,0.0,0.47647297,0.35532433,0.476473,0.6130911
000.365,9.945551,0.0,9.945551,0.0,9.985931,10.0,-0.3279789,-0.43633232,-0.3279789,-0.43633232,-0.00403032,0.0,0.4779855,0.32935965,0.4779855,0.6416956
000.370,9.942889,0.0,9.942889,0.0,9.984835,10.0,-0.33065856,-0.43633232,-0.33065856,-0.43633232,-0.003930261,0.0,0.47948134,0.36485058,0.47948134,0.6088215
000.375,9.940137,0.0,9.940137,0.0,9.983743,10.0,-0.33326462,-0.43633232,-0.33326462,-0.43633232,-0.0038326862,0.0,0.4805756,0.33861247,0.48057562,0.6368856
000.380,9.937293,0.0,9.937293,0.0,9.9826565,10.0,-0.33581376,-0.43633232,-0.33581376,-0.43633232,-0.0037375332,0.0,0.48203665,0.37362385,0.4820366,0.6044359
000.385,9.934357,0.0,9.934357,0.0,9.981575,10.0,-0.33829254,-0.43633232,-0.33829254,-0.43633232,-0.0036447425,0.0,0.483095,0.34729642,0.483095,0.6325366
000.390,9.931326,0.0,9.931326,0.0,9.980499,10.0,-0.3407175,-0.43633232,-0.3407175,-0.43633232,-0.003554255,0.0,0.48452008,0.38213652,0.48452005,0.60020554
000.395,9.928201,0.0,9.928201,0.0,9.979429,10.0,-0.34307525,-0.43633232,-0.34307525,-0.43633232,-0.0034660136,0.0,0.48554355,0.3558017,0.48554355,0.6282589
000.400,9.924981,0.0,9.924981,0.0,9.978366,10.0,-0.3453821,-0.43633232,-0.3453821,-0.43633232,-0.0033799629,0.0,0.48654822,0.38969627,0.48654824,0.59605235
000.405,9.921665,0.0,9.921665,0.0,9.977307,10.0,-0.3476247,-0.43633232,-0.3476247,-0.43633232,-0.0032960481,0.0,0.48715025,0.36307496,0.48715025,0.62356156
000.410,9.918252,0.0,9.918252,0.0,9.976255,10.0,-0.34981918,-0.43633232,-0.34981918,-0.43633232,-0.0032142163,0.0,0.48849845,0.39703476,0.48849845,0.5919925
000.415,9.9147415,0.0,9.9147415,0.0,9.975209,10.0,-0.35195222,-0.43633232,-0.35195222,-0.43633232,-0.0031344162,0.0,0.4890618,0.37041178,0.4890618,0.6194447
000.420,9.911133,0.0,9.911133,0.0,9.974169,10.0,-0.35403988,-0.43633232,-0.35403988,-0.43633232,-0.0030565965,0.0,0.48998874,0.40370625,0.48998874,0.5877101
000.425,9.907426,0.0,9.907426,0.0,9.973134,10.0,-0.35606873,-0.43633232,-0.35606873,-0.43633232,-0.0029807088,0.0,0.49089527,0.37727094,0.49089527,0.6156781
000.430,9.903619,0.0,9.903619,0.0,9.972105,10.0,-0.3580547,-0.43633232,-0.3580547,-0.43633232,-0.002906705,0.0,0.4917845,0.41034347,0.4917845,0.58410484
000.435,9.899712,0.0,9.899712,0.0,9.971082,10.0,-0.35998446,-0.43633232,-0.35998446,-0.43633232,-0.002834538,0.0,0.49265456,0.38403106,0.49265456,0.61188674
000.440,9.895703,0.0,9.895703,0.0,9.970065,10.0,-0.36187372,-0.43633232,-0.36187372,-0.43633232,-0.0027641626,0.0,0.49350533,0.41661146,0.49350533,0.5807464
000.445,9.891593,0.0,9.891593,0.0,9.969054,10.0,-0.3637092,-0.43633232,-0.3637092,-0.43633232,-0.002695534,0.0,0.493954,0.39001817,0.493954,0.6079785
000.450,9.887381,0.0,9.887381,0.0,9.968049,10.0,-0.3655065,-0.43633232,-0.3655065,-0.43633232,-0.002628609,0.0,0.49476463,0.42221588,0.49476463,0.5771536
000.455,9.883065,0.0,9.883065,0.0,9.96705,10.0,-0.3672523,-0.43633232,-0.3672523,-0.43633232,-0.0025633452,0.0,0.49555773,0.39599025,0.49555767,0.60471904
