time,Xangle,Yangle,Zangle,velocityX,velocityY,velocityZ,accelX,accelY,accelZ
0.60,0.0,0.0,0.0,0.0,-3.5480638,0.0,0.0,-5.93155,-0.0
0.61,0.0,0.0,0.0,0.0,-3.6073885,0.0,0.0,-5.9324846,-0.0
0.62,0.0,0.0,0.0,0.0,-3.6667228,0.0,0.0,-5.9334354,-0.0
0.63,0.0,0.0,0.0,0.0,-3.7260668,0.0,0.0,-5.934402,-0.0
0.64,0.0,0.0,0.0,0.0,-3.7854207,0.0,0.0,-5.9353848,-0.0
0.65,0.0,0.0,0.0,0.0,-3.8447845,0.0,0.0,-5.9363837,-0.0
0.66,0.0,0.0,0.0,0.0,-3.9041586,0.0,0.0,-5.937398,-0.0
0.67,0.0,0.0,0.0,0.0,-3.963543,0.0,0.0,-5.9384284,-0.0
0.68,0.0,0.0,0.0,0.0,-4.022938,0.0,0.0,-5.9394755,-0.0
0.69,0.0,0.0,0.0,0.0,-4.082343,0.0,0.0,-5.9405384,-0.0
0.70,0.0,0.0,0.0,0.0,-4.1417594,0.0,0.0,-5.9416165,-0.0
0.71,0.0,0.0,0.0,0.0,-4.2011867,0.0,0.0,-5.9427114,-0.0
0.72,0.0,0.0,0.0,0.0,-4.260625,0.0,0.0,-5.9438214,-0.0
0.73,0.0,0.0,0.0,0.0,-4.3200746,0.0,0.0,-5.944948,-0.0
0.74,0.0,0.0,0.0,0.0,-4.3795357,0.0,0.0,-5.9460907,-0.0
0.75,0.0,0.0,0.0,0.0,-4.439008,0.0,0.0,-5.9472494,-0.0
0.76,0.0,0.0,0.0,0.0,-4.4984922,0.0,0.0,-5.9484243,-0.0
0.77,0.0,0.0,0.0,0.0,-4.557988,0.0,0.0,-5.949615,-0.0
0.78,0.0,0.0,0.0,0.0,-4.6174965,0.0,0.0,-5.9508224,-0.0
0.79,0.0,0.0,0.0,0.0,-4.6770167,0.0,0.0,-5.952045,-0.0
0.80,0.0,0.0,0.0,0.0,-4.7365494,0.0,0.0,-5.9532847,-0.0
0.81,0.0,0.0,0.0,0.0,-4.796095,0.0,0.0,-5.9545393,-0.0
0.82,0.0,0.0,0.0,0.0,-4.855653,0.0,0.0,-5.9558115,-0.0
0.83,0.0,0.0,0.0,0.0,-4.9152236,0.0,0.0,-5.957099,-0.0
